"Club";"Barra";"Titulo";"Letra"
"quilmes";"indios kilmes";"en la cancha de quilmes";"en la cancha de quilmes los mejores momentos vividos a pesar de la yuta y de los ascensos perdidos vamos los cerveceros alentemos a los jugadores q esta banda esta loca  solo quiere los colores cervecero vos sos parte de mi vida oohh la locura  la razon de mi alegria oohh cervecero ponga huevo y valla al frente q te lo pide toda la gente ganes o pierdas voy a kererte"
"quilmes";"indios kilmes";"es la azul y blanca la que me conquisto";"cervecero soy no sé lo que me pasa. cuando juega quilmes no me importa nada. es la azul y blanca la que me conquisto yo daría la vida por salir campeon cervecero hoy hay que ganar que esta banda quiere festejar cervecero hoy hay que ganar que esta banda quiere festejar"
"quilmes";"indios kilmes";"esta es la banda que se fuma todo";"esta es la banda que va a ver a quilmes va a ver a quilmes de corazon.. esta es la banda... que se fuma todo  se lo fuma todo se lo fuma todo  ya no queda mas"
"quilmes";"indios kilmes";"los pibes todo en guido y sarmiento preparando el asado";"los pibes todo en guido y sarmiento preparando el asado  de gira todos descontrolados para verte a vos  al fin va a decir la verdad el gordo de la radio  que esta es la banda del cervecero que va de corazon  copar otra vez la boca es lo que imagino  y a los jugadores dejando la vida en cada partido  yo quiero verte jugar todos los domingos  esta es la banda mas loca que hay  a donde juegues siempre voy a estar... el grana y el taladro se quieren matar  el mas grande del sur sigue siendo papa"
"quilmes";"indios kilmes";"me dicen que no venga me dicen que no aliente";"me dicen que no venga me dicen que no aliente me dicen que en la cancha se muere mucha gente pero no les ago caso me voy de la cabeza dar la vida por voz no me interesa! ellos no saben lo que se sientee! ganes o pierdas ceervecero hasta la muerte no se compara con otra hinchada al cervecero se lo aguanta en cualqier cancha"
"quilmes";"indios kilmes";"quilmes de mi vida";"quilmes quilmes de mi vida vos sos la alegria de mi corazon sabe todo lo q siento lo llevo aca dentro de mi corazon"
"quilmes";"indios kilmes";"vamos cervecero que tenes que ganar";"hoy la banda esta de fiesta es la que siempre te alienta si estubimos en la buenas en la malas mucho mas siempre voy descontrolado y copamo en todo lados con los bombo' y las bandera yo a la cancha voy igual vamos cervecero que tenes q ganar la banda esta loca la vuelta quiere dar por eso te pido que pongas mas huevos y mas corazon para poder ser campeon"
"quilmes";"indios kilmes";"vengo del barrio cervecero";"vengo del barrio cervecero  barrio de droga y carnaval  yo te sigo de pendejo  nunca te voy a abandonar  por que quilmes es asi  se lleva en el corazon  esta hinchada se merece ser campeon..."
"quilmes";"indios kilmes";"ya llega el domingo agarro la bandera";"ya llega el domingo agarro la bandera. me voy a ver a quilmes no importa donde sea. desde pendejo yo te sigo a todas partes. cada vez te quiero mas. yo soy del sur de la ciudad. de la cerveza y el carnaval. y cervece te quiero asi. voy alentarte hasta morir"
"independiente rivadavia";"los caudillos del parque";"che baboso";"che baboso vigilante nunca tuviste aguante! sos la puta sos la yegua de los caudillos del parque! ay ya ya ai che baboso te vamo' a matar! ay ya ya ai che baboso te vamo' a matar!"
"independiente rivadavia";"los caudillos del parque";"dale lepra";"dale dale dale dale dale lepra  dale dale dale dale dale le dale dale dale dale lepraaa  dale dale dale dale leee"
"independiente rivadavia";"los caudillos del parque";"del parque vengo que pedo tengo";"del parque vengo  que pedo tengo a la cancha voy  a ver al campeón vamos independiente hooo vamos a ganar  porque está hinchada  quiere festejar"
"independiente rivadavia";"los caudillos del parque";"en el parque";"en el parque me enamore de ti! en el parque la vuelta yo la di! en el parque azul aparecio! y ya nadie nunca mas nos separo oh oh!"
"independiente rivadavia";"los caudillos del parque";"es una fiesta es un carnaval";"es una fiesta es un carnaval son los leprosos que locos que estan no somos amargo como godoy cruz a esos puto los vamos a matar..... eeeeeeee eeeel que no salta es tombino oh oh oh oh oh oh oh"
"independiente rivadavia";"los caudillos del parque";"esta es una banda tema viejo";"esta es una banda que le gusta copar que le gusta copar que le gusta copar! siempre a todos lados no la pueden parar no la pueden parar no la pueden parar! dale la le dale la le! dale dale dale dale dale la le! dale la le dale la le! dale dale dale dale dale la le!"
